Date,Open,High,Low,Close
2018-09-11,6397.82,6397.82,6181.19,6308.14
2018-09-15,6278.92,6500.01,6278.92,6500.01
2018-09-19,6530.22,6530.22,6250.12,6347.07
2018-09-23,6383.75,6753.83,6383.75,6747.03
2018-09-27,6711.03,6711.03,6441.31,6462.8
2018-09-30,6704.7,6704.7,6606.07,6606.07
2018-10-03,6626.04,6626.04,6524.61,6524.61
2018-10-07,6499.26,6621.19,6499.26,6589.12
2018-10-11,6584.83,6653.09,6582.46,6582.46
2018-10-15,6234.37,6328.55,6234.37,6328.55
2018-10-19,6659.88,6659.88,6517.51,6517.51
2018-10-23,6483.83,6532.68,6483.83,6512.59
2018-10-27,6472.8,6481.44,6458.19,6468.83
2018-10-31,6457.06,6481.32,6292.65,6331.78
2018-11-03,6366.72,6425.44,6366.72,6425.44
2018-11-07,6388.19,6474.85,6351.06,6474.85
2018-11-11,6574.8,6574.8,6413.78,6429.9
2018-11-15,6434.28,6434.28,5788.61,5788.61
2018-11-19,5686.54,5686.54,5599.19,5638.86
2018-11-23,4889.2,4889.2,4307.39,4307.39
2018-11-27,4376.9,4376.9,3811.92,3811.92
2018-11-30,3832.92,4279.48,3832.92,4279.48
2018-12-03,4009.69,4189.57,4009.69,4124.59
2018-12-07,3878.84,3943.69,3466.76,3466.76
2018-12-11,3408.52,3550.55,3408.52,3433.81
2018-12-15,3378.81,3438.1,3216.63,3216.63
2018-12-19,3221.98,3655.78,3217.05,3655.78
2018-12-23,3687.75,4065.1,3687.75,3960.57
2018-12-27,3941.62,4021.99,3759.18,3781.61
2018-12-31,3587.7,3854.42,3587.7,3809.73
2019-01-03,3692.53,3872.17,3692.53,3872.17
2019-01-07,3776.53,4013.52,3776.53,4013.52
2019-01-11,3989.67,3989.67,3623.85,3623.85
2019-01-15,3632.85,3648.05,3495.83,3648.05
2019-01-19,3567.8,3620.98,3567.8,3597.79
2019-01-23,3674.59,3674.59,3531.0,3571.27
2019-01-27,3555.7,3565.64,3555.7,3563.61
2019-01-31,3553.12,3553.12,3413.38,3457.88
2019-02-03,3431.94,3486.58,3431.94,3486.58
2019-02-07,3454.03,3469.89,3405.84,3405.84
2019-02-11,3394.01,3675.69,3394.01,3675.69
2019-02-15,3631.44,3633.97,3589.66,3589.66
2019-02-19,3601.23,3886.52,3601.23,3886.52
2019-02-23,3915.01,3976.81,3915.01,3973.64
2019-02-27,4115.34,4115.34,3742.87,3809.21
2019-02-28,3813.38,3819.65,3813.38,3819.65
2019-03-07,3806.95,3860.51,3712.81,3860.51
2019-03-11,3871.64,3941.6,3861.88,3923.56
2019-03-15,3860.36,3876.7,3860.36,3876.7
2019-03-19,3925.46,4007.71,3925.46,3986.71
2019-03-23,4013.58,4045.57,3983.32,3989.16
2019-03-27,4008.95,4008.95,3927.58,3938.66
2019-03-31,4036.16,4103.86,4028.39,4103.86
2019-04-03,4103.52,4862.23,4103.52,4862.23
2019-04-07,4955.83,5041.87,4899.02,5041.87
2019-04-11,5176.98,5308.91,5172.18,5308.91
